User-ids      Usage         Counts      
bmagar              2982.6           54
macarew             2978.1           23
wangq               2957.7            9
tingyu              2856.8            2
xinchang            2836.1           77
achen               2834.8            1
aasche              2826.6           62
rsontarp            2803.1           60
sulei               2790.6           10
jmccarty            2789.7           22
apohlmann           2786.9           23
rsaxena             2713.6           11
ivytan              2677.3            2
zsimin              2657.1           53
welty               2646.9            8
turuncu             2625.0           37
rpfernan            2588.2           79
kkeene              2530.9           17
xinyuanh            2530.7            3
yichuanhuang        2475.3           19
msaito              2345.0           92
alegarcia           2330.7           85
astokely            2315.6           13
sakinjole           2308.6           37
dcalhoun            2263.5            8
jban                2222.3           91
lysun               2206.2            4
tgurung             2187.5           25
jimenez             2185.1           15
meixu               2180.2           66
sishir              2171.6           12
aislas              2164.0           43
tfriberg            2136.0            5
gbryan              2060.4           76
ksookdar            2050.5          126
bjung               2049.4          104
siwei               2040.3            5
xinan               1966.2           25
omillin             1956.0           10
cjiaxin             1909.3           12
aborissov           1908.6           14
mingshiy            1892.3            8
timand              1857.6           86
gschlaff            1843.3          231
yqsun               1827.9           20
zhouxu              1787.2           19
yihang              1784.9           20
junpark             1782.1        16302
einaraz             1764.6           19
rahilmoh            1758.2           29
jklavans            1741.3           37
aschell             1723.9           46
jnug                1722.6            5
lave                1717.1           13
biswas              1676.1         7755
priyankas           1619.4            4
gallus              1583.5           39
jcoupe              1545.2           20
tbarbero            1544.9            8
klemp               1518.9           47
alm334              1500.8            6
lacey               1498.6           31
katec               1463.9           62
kavulich            1369.8           22
abolafia            1291.4            4
hchunlin            1287.9           72
esherman            1285.5            5
ddornsife           1259.1           11
lkugler             1228.3           94
pbelzer             1206.8            6
skeidel             1202.3           60
burcuboza           1177.9            2
huangwei            1176.5          782
jaye                1176.3            7
kedeng              1130.7            4
potter              1130.6           18
masonr              1103.2          856
tlopes              1100.7           55
ggantos             1075.6           17
mjung               1068.8           23
gglanton            1058.7            1
yongxinl            1052.4            7
luisacap            1046.6           10
jonlin              1037.8            5
maritza             1035.1            4
naomi               1032.6            5
akannan             1027.9           14
luettgen            1024.5            1
shalvorson          1008.1            5
qhaffner            1000.1            4
abhijitd             997.2            4
cmalott              987.7          214
mdarman              960.1            8
kenyan               949.6           11
marchakitus          948.1           85
knyzio               907.3          116
pramamur             899.9           55
ndawson              889.6           48
hmcdaniel            882.0            4
bataylor             865.8            3
gcenker              861.4            6
carsont              850.6           21
nperlin              837.7           16
erickkc2             826.4            3
spencerk             823.4          948
mammon               792.4           49
dubey                791.6           19
sfernandez           790.2            1
cgilbert             776.9            3
sressel              776.7            3
kmgeiger             773.4           30
qashley              771.8          112
sbiswas              753.3            6
njaisawal            750.6            1
jmccurry             749.7          260
yeager               726.0            2
nandrosk             718.8           44
rkong                713.4           30
johanson             704.4            2
mwarburg             692.9           58
nanr                 681.3           10
jmichael             671.8           29
malshawaf            654.2            9
rabindra             652.0            2
considine            649.6            8
addisus              639.2           11
jianlinliu           639.0           44
chshen               638.9          114
huba                 638.5           22
zsolecki             628.6            8
keerzhang            627.7           50
bachman              625.1           32
lleweeks             621.8            1
ashu                 618.4           15
ajaroudiiv           617.2            7
pujaroy              615.0            9
mayta                597.7           20
ajtomanek            595.7           14
linyao               590.9           33
thiru                581.2            5
samv                 580.7           12
hnsiah               565.3            4
gharamti             554.6            3
dkimball             552.1            2
jkim                 550.9           88
geguo                541.7           66
sdemarois            541.3           84
ewilkinson           534.3          126
kmartinez            529.9           19
jpereira             527.9           61
hmmiller             526.7           50
amacker              517.9            2
zpekarek             517.9            2
mckenna              516.7            1
lsang                511.5            8
nusbaume             504.5          110
prajha               502.1            5
osei                 498.6            2
skamali              488.4           24
sstrey               477.4           11
tsatoperry           465.7          154
efosler              462.8            6
ruitong              450.2           16
yskim                449.6           14
lijingwang           447.9            2
iaguirre             440.0          469
jteymoori            430.5            2
zhfu                 427.7            8
eazriel              416.6            7
mfranke              412.2            2
afoster              410.2            9
ljaeger              398.6            6
marielj              387.5            1
alyssas              382.6            2
aaronz               374.3            7
tongren              365.2            2
grell                364.1            8
crtabor              358.2           10
csinger              354.5            7
nikhilr              350.6            4
jocegue              337.9            2
sbyrne               326.5            5
afolorunsho          305.6           25
nmahfouz             301.9            3
jduggan              300.1           14
degodoi              273.0            3
michaelj             265.3            4
ddamurah             261.9            7
janine               259.1           12
ehojeily             258.9            1
amiller              258.8            1
snyame               258.8            1
tzhu                 258.7            1
kbowley              258.7            1
dmarr                258.6            1
mingzhu              258.5            1
ito                  254.2           10
wasserstein          247.2            3
dmoraes              239.5            7
mschyljuk            237.8          121
ppillai              235.9          125
vweeks               229.8            4
joshuag              228.3            3
jofiaj               224.3            1
tstebbins            224.3            7
jsnoeink             224.3           34
yingyingfeng         222.2            5
abaker               221.2           10
mbray                218.0           22
elkoukah             217.3            2
rossamower           208.6           21
hailingz             206.9           14
wradunz              203.1            4
jchris               200.4            5
haidenm              185.6          195
esnyder              181.3           11
osamolej             176.3            5
haiyingx             168.0           11
kstengel             167.4           29
nalluri              165.9            1
yanc                 163.0          151
avy                  161.5           11
yidai                160.1            6
yuliang              157.9            8
afuller              153.8           40
edliu                153.6            1
done                 153.5            2
emrosky              148.3            5
bcondo               147.7           52
wienders             133.5           11
afinnell             133.4            3
aksmith              133.3           14
hkershaw             133.1            6
lterhune             132.9           62
pel                  130.1            5
jaedynw              130.0            1
pfunderb             129.4           10
dettling             128.7            2
kbrooks              122.5           25
sandroni             117.5           33
mgupta               116.7          126
yates                116.4          136
rcabell              115.7          196
jam                  115.6            6
zavala               113.8           10
jlende               109.9           10
alexkramer           108.9           32
tzujui               108.2            9
kgiesa               107.9            7
nelgalad             105.4           35
anthonym              99.9            4
hungjui               98.2            1
huitang               97.1            2
vanderwb              94.9           21
demurray              93.7            2
ebutali               92.7           28
kylu                  89.5          288
bagherio              82.9           57
yifanc                81.9          171
alapaty               80.9           22
bwilliams             77.7            9
hong                  77.2            7
tharman               74.6            9
eriddle               74.3            1
alancia               72.9           71
cbritt                66.3            5
bneuman               65.3            4
matthews              62.8            2
chenming              57.5            2
aurorabf              55.3            7
kinsaled              54.9            5
mmiller469            52.7            1
ddmitruk              49.8            2
hahnd                 48.4            5
jconklin              48.3           47
itella                46.7            3
yingnan               44.3            5
lwalters              44.1           71
jcurtis               43.1            1
xyhuang               42.6            8
cwbschuler            42.0           41
kkwasnick             40.0            4
rajatm                39.8            8
valent                37.5            3
nsiegert              35.6            8
jhoogs                33.2           19
bmendez               33.2           49
agopal                31.6           54
karencc               30.9           19
sisichen              30.6          129
maryamao              29.3            4
jfordyce              29.2           45
jingyuan              28.4            2
jpowers               27.8           21
soren                 27.4           28
ktellefsen            27.3           50
yuanbingzhao          27.2            2
pasatere              27.1          129
abelvis               25.1           30
dharkin               24.7           43
ntavakoli             24.4            4
camcooz               24.3            5
scsan                 24.1            1
aginesocasio          23.6           19
acsubram              23.3            4
huiqiw                22.8           87
annac                 22.2            2
kmanning              20.9           11
junli                 18.9           32
jroyle                17.6            3
ramaube               16.4            8
yqhuang               14.6            1
jocamacho             14.1            7
powers                13.8           14
yizhu                 12.1            6
oehmke                11.4           11
mrehme                10.1           19
eabbamon               9.4            1
wdong                  9.2            3
hsiaof                 8.5            4
galpay                 8.3          156
lfu                    7.7          119
wadlerj                6.8            2
mdfowler               6.3           48
jnathaniel             6.0           10
ofarque                5.4            1
talkington             5.4           11
zmoon                  5.3            2
jbseth                 5.2            1
rhallmark              4.7           44
hhuang18               4.6            2
awikner                4.4            3
nict                   4.2           20
harrold                4.1            1
kecia                  3.9            1
gengxinc               3.7            2
