Accounts      Usage         Counts      
UCNN0048            5530.0           11
UNIO0001            5351.8            2
UCSU0139            5342.4           68
UCIE0001            5067.7           22
USIO0041            5013.7           17
UCUB0172            4909.2           48
UTTU0008            4650.1           42
WYOM0168            4621.0            4
UISU0006            4497.9           22
UMES0016            4466.0            5
UAZN0044            4382.5            8
P48500053           4330.9           48
UMIC0069            4197.8           42
UCSD0068            4188.0            3
UMES0015            4125.1           10
UGTS0001            3948.8            1
UUSL0026            3844.5           12
UPSU0055            3736.3           23
UCUL0006            3728.6            1
UIUC0017            3715.4            7
NMMM0035            3605.5        15044
UNCT0012            3252.3            1
UMCP0021            3231.0           10
UDEL0013            3218.2            4
UJHB0014            3134.5           14
P93300065           3031.8            9
UNVR0022            3018.4            9
UNVR0027            3012.9           10
UCLB0029            2991.4           30
UCLA0086            2957.7            9
URIC0009            2932.5          240
UIUC0023            2836.1           77
UMIC0093            2834.8            1
UWIS0065            2790.6           10
NCGD0065            2719.4           21
UPSU0073            2626.4            7
UDRE0001            2462.1           38
UCSC0009            2346.9          191
UMCP0038            2263.5            8
UNEB0013            2179.7           24
NMMM0012            2164.0           43
UOKL0040            1956.0           10
UMCP0026            1909.3           12
UIUC0042            1892.3            8
UCSU0126            1787.2           19
UASU0014            1784.9           20
UMSU0017            1758.2           29
UMIA0034            1741.3           37
UMIC0100            1723.9           46
UCBK0042            1544.9            8
UCOR0089            1500.8            6
UPSU0075            1296.5            6
P06010014           1170.1            4
WYOM0199            1117.8           51
NAML0001            1075.6           17
UBUB0012            1046.6           10
UALB0052            1037.0            2
UCUB0089            1036.1            4
UCOR0097             987.7          214
NCGD0067             947.2           30
UCNY0002             899.9           55
UOKL0062             861.4            6
UCOS0003             856.7           25
UIUC0068             826.4            3
UCOR0095             790.2            1
UWAS0152             776.7            3
UOKL0057             773.4           30
UBAY0001             750.6            1
UMCP0011             749.7          260
UUSL0043             704.4            2
UHOW0010             660.6            6
UIUC0072             639.0           44
UIUC0058             628.6            8
UYLE0022             627.7           50
UCSU0118             595.7           14
UGMU0031             565.3            4
UCSD0075             542.3           60
UCUC0012             541.7           66
UAHV0012             530.9            8
UANR0001             502.1            5
UPSU0047             498.6            2
UHAH0037             462.8            6
UMIC0104             458.2           13
WYOM0078             450.8           21
UCUB0188             450.2           16
UCNN0040             430.5            2
UCSD0076             427.7            8
NHAP0012             424.9            2
P08010000            414.5           25
UUMM0004             398.6            6
UMIN0008             387.5            1
UCSU0106             382.6            2
UPUR0027             337.9            2
UCSD0074             326.5            5
UCSD0047             310.6            8
WYOM0223             300.1           14
UBUB0017             286.5            1
UERF0008             265.4            3
UALB0045             258.9            1
UCNN0051             258.8            1
UMIC0114             258.7            1
UGIT0036             254.2           10
UCSB0020             222.2            5
UOKL0042             218.0           22
UCOR0061             214.5            3
SSSG0001             207.6           11
UFSU0018             185.6          195
UWAS0159             176.3            5
UCLB0060             165.9            1
UCNN0052             163.0          151
UMIA0038             160.1            6
UCSD0062             157.9            8
UFSU0023             133.5           11
UGMU0053             130.0            1
UGAT0009             122.5           25
UAZN0036             109.9           10
UCSU0130             108.2            9
UCSU0090              98.2            1
URTG0006              97.1            2
UCIR0061              82.9           57
UMAH0013              66.3            5
UNSB0036              59.1            1
UCSD0063              55.3            7
UGIT0034              52.7            1
UDRI0009              49.8            2
NJNT0009              48.3            4
UCIR0060              44.3            5
UNSB0040              43.1            1
UALB0039              42.0           41
UCLB0055              35.6            8
NMMM0081              29.3            4
UPUR0031              27.2            2
UCUB0117              25.8           18
UCLA0080              24.5            5
UCUB0143              23.3            4
UCBK0039              22.8           87
UOSU0009              20.9            9
UHOW0015              16.4            8
NVST0001              10.1           19
UNCT0008               9.2            3
UCHU0002               8.3          156
UNEB0011               7.8            1
UCHU0001               7.7          119
UCLB0042               6.0           10
UMIC0099               5.2            1
UCUB0095               3.7            2
UWSU0012               2.7            9
UUSL0041               2.3           47
NRAL0017               2.2            7
UCUB0137               1.6            4
UNTE0012               1.5            3
UCUB0152               1.3            1
UHOW0011               1.0            2
UCBK0034               1.0           13
ULBN0002               0.8            2
UCIT0011               0.7           15
UPRI0023               0.7            3
P41110002              0.5           11
UCSU0128               0.3            1
UOKL0066               0.1            5
UKUL0004               0.0            1
UCSD0077               0.0            1
P64000495              0.0            1
NEOL0011               0.0            1
